,itinerary,ap_los,ond,travel_time,fare,provider,search_date
51557,AF5368-AF7415-AF6272,15_3,BODLYS,265.0,176.51,sabre,20180815
51558,AF5456-AF7415-AF6272,15_3,BODLYS,270.0,176.51,sabre,20180815
51559,AF5460-AF7415-AF6272,15_3,BODLYS,270.0,176.51,sabre,20180815
51560,AF5368-AF7651-AF6262,15_3,BODLYS,635.0,176.51,sabre,20180815
51561,AF5456-AF7651-AF6262,15_3,BODLYS,640.0,176.51,sabre,20180815
51562,AF5460-AF7651-AF6262,15_3,BODLYS,640.0,176.51,sabre,20180815
51563,AF7627-AF7648-AF5401,15_3,BODLYS,700.0,181.21,sabre,20180815
51564,AF5368-AF7651-AF6250,15_3,BODLYS,1575.0,181.27,sabre,20180815
51565,AF5456-AF7651-AF6250,15_3,BODLYS,1580.0,181.27,sabre,20180815
51566,AF5460-AF7651-AF6250,15_3,BODLYS,1580.0,181.27,sabre,20180815
51567,AF5368-AF7651-AF7630,15_3,BODLYS,1030.0,182.52,sabre,20180815
51568,AF5456-AF7651-AF7630,15_3,BODLYS,1035.0,182.52,sabre,20180815
51569,AF5460-AF7651-AF7630,15_3,BODLYS,1035.0,182.52,sabre,20180815
51570,AF5382-AF5459,15_3,BODLYS,130.0,185.97,sabre,20180815
51571,AF5382-AF5396,15_3,BODLYS,135.0,185.97,sabre,20180815
51572,AF7627-AF7648-AF5459,15_3,BODLYS,700.0,191.21,sabre,20180815
51573,AF7627-AF7648-AF5396,15_3,BODLYS,705.0,191.21,sabre,20180815
51574,AF7625-AF7648-AF5401,15_3,BODLYS,780.0,191.21,sabre,20180815
51575,AF7020-AF5391-AF7415-AF6250,15_3,BODLYS,1440.0,195.24,sabre,20180815
51576,AF7020-AF5391-AF7415-AF6252,15_3,BODLYS,1505.0,195.24,sabre,20180815
51577,AF7018-AF5391-AF7415-AF6250,15_3,BODLYS,1660.0,195.24,sabre,20180815
51578,AF5382-AF7415-AF6250,15_3,BODLYS,835.0,196.51,sabre,20180815
51579,AF5382-AF7415-AF6252,15_3,BODLYS,900.0,196.51,sabre,20180815
51580,AF5368-AF5405-AF7015,15_3,BODLYS,725.0,199.7,sabre,20180815
51581,AF5456-AF5405-AF7015,15_3,BODLYS,730.0,199.7,sabre,20180815
51582,AF5460-AF5405-AF7015,15_3,BODLYS,730.0,199.7,sabre,20180815
51583,AF7020-AF5391-AF7415-AF6254,15_3,BODLYS,1590.0,200.0,sabre,20180815
51584,AF7020-AF5391-AF7415-AF6256,15_3,BODLYS,1675.0,200.0,sabre,20180815
51585,AF7020-AF5391-AF7415-AF6272,15_3,BODLYS,870.0,200.24,sabre,20180815
51586,AF7018-AF5391-AF7415-AF6272,15_3,BODLYS,1090.0,200.24,sabre,20180815
51587,AF7020-AF5391-AF7651-AF6262,15_3,BODLYS,1240.0,200.24,sabre,20180815
51588,AF7625-AF7648-AF5459,15_3,BODLYS,780.0,201.21,sabre,20180815
51589,AF7625-AF7648-AF5396,15_3,BODLYS,785.0,201.21,sabre,20180815
51590,AF7020-AF5391-AF7415-AF7620,15_3,BODLYS,1565.0,201.25,sabre,20180815
51591,AF5382-AF7415-AF6254,15_3,BODLYS,985.0,201.27,sabre,20180815
51592,AF5382-AF7415-AF6256,15_3,BODLYS,1070.0,201.27,sabre,20180815
51593,AF5368-AF7401-AF6262,15_3,BODLYS,575.0,201.51,sabre,20180815
51594,AF5456-AF7401-AF6262,15_3,BODLYS,580.0,201.51,sabre,20180815
51595,AF5460-AF7401-AF6262,15_3,BODLYS,580.0,201.51,sabre,20180815
51596,AF7627-AF7648-AF7415-AF6250,15_3,BODLYS,1405.0,201.75,sabre,20180815
51597,AF7627-AF7648-AF7415-AF6252,15_3,BODLYS,1470.0,201.75,sabre,20180815
51598,AF5382-AF7415-AF7620,15_3,BODLYS,960.0,202.52,sabre,20180815
51599,AF5458-AF5401,15_3,BODLYS,135.0,205.97,sabre,20180815
51600,AF5368-AF7643-AF7630,15_3,BODLYS,545.0,206.21,sabre,20180815
51601,AF5456-AF7643-AF7630,15_3,BODLYS,550.0,206.21,sabre,20180815
51602,AF5460-AF7643-AF7630,15_3,BODLYS,550.0,206.21,sabre,20180815
51603,AF5368-AF7651-AF7634,15_3,BODLYS,740.0,206.21,sabre,20180815
51604,AF5456-AF7651-AF7634,15_3,BODLYS,745.0,206.21,sabre,20180815
51605,AF5460-AF7651-AF7634,15_3,BODLYS,745.0,206.21,sabre,20180815
51606,AF5368-AF7643-AF6250,15_3,BODLYS,1090.0,206.27,sabre,20180815
51607,AF5456-AF7643-AF6250,15_3,BODLYS,1095.0,206.27,sabre,20180815
51608,AF5460-AF7643-AF6250,15_3,BODLYS,1095.0,206.27,sabre,20180815
51609,AF7627-AF7648-AF7415-AF6254,15_3,BODLYS,1555.0,206.51,sabre,20180815
51610,AF7627-AF7648-AF7415-AF6256,15_3,BODLYS,1640.0,206.51,sabre,20180815
51611,AF5368-AF7401-AF7630,15_3,BODLYS,970.0,207.52,sabre,20180815
51612,AF5456-AF7401-AF7630,15_3,BODLYS,975.0,207.52,sabre,20180815
51613,AF5460-AF7401-AF7630,15_3,BODLYS,975.0,207.52,sabre,20180815
